case,algorithm,cost,time_s,nodes_expanded,max_frontier,ida_iterations
one_move,A*,1,0.00010061264038085938,1,3,
one_move,IDA*,1,5.4836273193359375e-05,4,,1
two_moves,A*,2,8.106231689453125e-05,2,3,
two_moves,IDA*,2,4.0531158447265625e-05,5,,1
medium,A*,2,3.600120544433594e-05,2,3,
medium,IDA*,2,4.315376281738281e-05,3,,1
hard_14,A*,20,0.0022683143615722656,282,170,
hard_14,IDA*,20,0.001871347427368164,444,,4
hard_20,A*,31,0.19489383697509766,21197,8861,
hard_20,IDA*,31,0.08181071281433105,22809,,6
